,"Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$"
"Cuba","2519.29","2517.68","2493.63","3180.36","2706.49","2228.88","1888.16","2170.58","2041.55","2192.34","1974.98","1842.79","1291.40","1069.46","748.35","756.97","711.30","639.14","547.91"
"Cyprus","2624.85","2498.47","2358.56","2198.69","2077.87","2100.02","2091.35","2176.96","2205.68","2221.74","2122.59","1781.30","1653.52","1520.42","1411.05","1375.60","1330.51","1228.20","1135.92"
"Czechia","3040.52","2753.38","2521.82","2441.99","2472.18","2379.51","2042.60","2010.96","1919.07","2016.30","1777.91","1578.52","1475.29","1402.74","1328.35","1273.44","1127.06","1031.99","923.64"
"Democratic Republic of the Congo","30.72","36.94","37.93","34.65","33.00","27.40","23.76","21.96","24.24","27.43","30.09","24.88","23.88","21.98","21.57","17.48","11.52","11.58","6.62"
"Denmark","5794.26","5589.41","5291.38","5038.36","4886.55","4762.36","4597.62","4516.30","4456.95","4318.35","3938.91","3643.18","3425.17","3109.05","2968.02","2744.73","2670.24","2492.48","2327.62"
"Djibouti","134.89","134.43","141.19","149.83","135.03","124.08","133.53","130.03","109.36","110.61","108.75","109.36","104.88","91.18","89.75","103.32","90.20","68.57","70.50"
"Dominica","710.24","583.67","578.31","563.03","581.81","555.84","598.47","546.87","519.10","493.00","501.59","436.14","398.97","385.64","355.25","344.40","306.51","310.79","348.52"
"Dominican Republic","1017.50","954.53","904.42","842.00","783.47","728.29","705.03","656.05","621.15","523.11","483.68","414.56","361.40","354.97","314.04","309.46","354.92","332.16","322.16"
"Ecuador","954.76","949.69","930.98","981.83","990.08","944.02","888.94","777.37","649.12","569.31","515.85","487.76","458.34","425.02","396.11","354.27","283.01","228.38","194.09"
"Egypt","614.11","661.44","605.82","583.76","532.73","508.48","479.17","457.35","428.59","433.31","426.94","395.93","399.14","375.21","349.96","358.63","366.66","352.02","309.08"
"El Salvador","592.34","576.24","593.15","568.72","555.84","541.42","510.69","528.79","506.73","502.32","466.67","446.64","444.87","442.63","422.93","405.82","411.85","403.63","398.58"
"Equatorial Guinea","696.58","738.49","824.87","862.72","735.57","641.12","462.17","537.88","605.51","697.56","709.55","531.72","454.70","421.88","572.98","532.19","434.92","351.77","206.44"
"Eritrea","73.70","59.69","61.58","72.27","82.62","77.04","64.57","86.84","64.64","64.23","68.91","70.56","90.39","91.53","91.87","96.51","93.03","82.19","74.66"
"Estonia","2427.63","2230.44","2009.14","1866.39","1769.96","1649.73","1513.64","1426.67","1365.06","1340.15","1302.36","1102.97","917.69","838.37","741.41","635.64","546.91","491.66","485.08"
"Eswatini","695.70","708.29","674.52","690.07","694.17","698.93","698.41","709.00","693.61","668.39","674.94","591.99","548.19","475.73","403.78","356.38","292.71","258.23","226.12"
"Ethiopia","66.64","65.53","62.87","62.00","60.27","55.74","56.76","51.91","57.55","44.15","38.14","40.56","32.47","26.91","25.25","25.28","25.10","25.11","21.57"
"Fiji","372.46","329.19","317.17","311.60","299.21","286.46","274.43","256.04","266.58","266.82","244.18","257.05","250.00","233.50","225.96","191.12","186.61","173.65","197.04"
"Finland","4457.17","4339.91","4211.66","4098.92","4084.43","4068.54","3917.43","3772.54","3562.18","3479.86","3340.42","3050.32","2844.80","2649.96","2505.60","2297.40","2176.57","2011.47","1896.12"
"France","5250.45","5110.13","4942.76","4691.53","4659.24","4547.43","4287.73","4217.54","4061.25","3942.99","3710.46","3541.95","3391.30","3135.56","2970.66","2854.97","2876.46","2685.77","2516.77"
"Gabon","490.84","493.93","554.41","473.54","444.47","486.25","400.35","409.52","376.05","561.36","415.36","490.04","455.22","437.69","488.25","514.18","476.30","455.66","438.78"
"Gambia","80.81","82.34","75.91","75.48","86.15","93.51","99.52","98.24","101.69","105.96","106.44","107.76","114.88","114.79","118.14","188.69","187.07","167.77","167.20"
"Georgia","795.90","734.58","778.03","692.76","706.62","660.33","637.00","582.62","598.94","601.02","543.38","455.57","402.30","375.85","331.86","302.29","258.85","219.67","202.75"
"Germany","6098.20","5930.58","5573.72","5355.32","5192.51","4953.16","4708.95","4587.43","4320.84","4133.01","3870.05","3641.60","3471.19","3277.20","3175.64","3107.50","2973.18","2818.56","2691.44"
"Ghana","167.98","148.42","143.16","186.92","164.27","180.74","206.73","216.71","186.08","175.41","152.78","138.97","133.37","203.06","148.26","137.50","131.01","142.45","122.00"
"Greece","2340.17","2273.59","2238.93","2149.34","2100.17","2163.44","2214.81","2356.14","2679.00","2859.60","2728.05","2462.74","2358.68","2194.11","2061.65","2019.10","1864.50","1678.58","1417.78"
"Grenada","693.82","673.00","614.70","617.15","593.06","643.43","643.73","640.68","584.71","584.90","618.07","585.52","525.73","536.41","480.41","465.26","489.32","425.63","406.68"
"Guatemala","482.96","474.81","464.54","456.18","438.16","412.66","422.93","406.32","404.43","412.10","407.64","402.38","390.67","355.74","350.49","336.19","322.68","315.94","244.97"
"Guinea","109.24","101.11","116.97","115.39","92.92","65.07","61.60","65.24","55.95","56.33","52.75","53.49","52.46","88.33","90.22","87.61","95.95","82.43","77.33"
"Guinea-Bissau","123.18","118.79","126.16","135.26","143.34","104.18","84.71","92.44","90.63","95.14","93.01","95.97","89.24","88.43","89.40","73.56","68.30","71.18","75.24"
"Guyana","512.92","467.42","404.34","406.20","387.98","363.09","336.17","340.40","332.88","304.17","291.84","277.89","237.88","333.43","312.92","275.63","266.46","245.07","243.08"
"Haiti","143.63","147.01","150.78","152.38","136.49","122.22","156.75","160.55","120.45","94.52","90.13","87.37","77.98","75.35","77.49","78.35","80.92","89.53","93.81"
"Honduras","362.26","344.21","360.18","339.47","348.09","361.39","359.27","350.31","334.40","335.26","333.09","301.07","274.67","244.25","209.06","197.40","172.30","159.32","164.75"
"Hungary","2115.19","2003.75","1949.05","1834.95","1808.40","1773.09","1722.26","1720.49","1618.29","1496.83","1467.77","1372.69","1427.44","1364.60","1259.81","1254.01","1032.78","900.85","802.88"
"Iceland","5113.22","4739.73","4314.76","3979.38","3770.98","3592.39","3383.85","3317.45","3352.71","3744.67","3798.19","3627.29","3498.62","3426.03","3381.32","3272.39","3110.16","2822.04","2666.73"
"India","275.13","253.42","232.95","220.55","205.69","196.93","163.46","150.13","145.47","142.79","134.83","129.92","122.24","117.16","111.72","103.77","101.58","98.49","88.55"
"Indonesia","375.16","352.19","358.08","330.91","329.49","296.35","274.18","261.83","245.30","224.94","214.72","220.27","189.89","171.22","133.83","133.24","111.78","114.15","95.95"
"Iran (Islamic Republic of)","1691.34","1758.99","1727.07","1348.21","1223.50","1021.59","1129.16","1209.72","1189.33","1092.22","882.48","835.70","795.27","756.52","690.02","652.50","553.63","562.31","510.02"
"Iraq","715.96","722.66","583.79","502.32","446.06","454.87","412.19","382.24","416.25","463.03","365.51","344.75","262.62","282.17","355.69","181.94","","",""
"Ireland","5896.69","5616.83","5365.20","5079.23","4962.42","4948.55","4954.58","4813.00","4561.26","4381.68","4059.45","3697.60","3372.34","3128.89","2822.63","2560.52","2369.67","2100.94","1795.53"
"Israel","3207.47","3087.96","2852.71","2645.09","2560.21","2518.75","2342.51","2210.54","2101.58","2023.25","1989.98","1984.83","1873.94","1877.50","1886.62","1799.46","1920.09","1913.08","1793.64"
"Italy","3624.08","3572.10","3416.70","3265.52","3210.07","3216.07","3212.64","3211.96","3139.11","3103.14","3040.12","2785.30","2738.94","2516.80","2419.03","2291.76","2263.52","2170.56","2049.43"
"Jamaica","559.12","552.13","500.21","483.54","437.77","411.60","399.12","424.91","415.87","407.62","463.38","436.65","333.22","341.34","348.67","296.04","317.20","334.92","356.66"
"Japan","4503.68","4386.46","4304.61","4368.33","4214.35","4177.43","3988.36","3778.41","3191.91","2995.34","2842.77","2711.88","2572.19","2453.01","2315.78","2195.61","2097.13","2012.82","1908.96"
"Jordan","737.75","749.82","662.09","687.82","667.22","659.17","721.59","759.76","769.95","887.57","808.87","735.42","670.81","688.62","649.57","604.51","616.71","598.77","552.64"
"Kazakhstan","783.76","806.73","864.57","762.61","740.81","634.75","682.24","555.94","540.98","645.59","558.05","474.51","538.62","547.47","499.02","418.58","368.04","318.25","328.59"
"Kenya","179.18","157.60","160.49","155.96","156.52","151.23","146.56","146.22","145.94","134.76","133.56","133.20","122.24","116.17","110.10","101.79","95.35","92.64","86.17"
"Kiribati","277.83","239.93","206.16","168.73","190.22","182.03","158.26","150.02","157.81","234.94","247.04","205.01","203.02","201.03","204.02","176.83","193.51","193.21","136.86"
"Kuwait","3669.02","3760.22","3051.09","3012.72","2452.65","2026.96","2064.42","2042.69","2035.18","3067.05","1738.42","1947.39","1993.68","1985.99","2083.18","2195.11","2054.01","2014.10","1410.12"
"Kyrgyzstan","259.93","231.27","228.98","246.80","246.61","264.09","247.98","207.45","190.85","191.23","177.12","172.59","187.84","160.03","130.38","111.94","81.32","75.01","72.54"
"Lao People's Democratic Republic","167.12","175.30","152.83","149.08","130.78","126.41","100.99","89.33","126.66","146.05","108.40","117.89","101.44","103.25","101.28","118.20","91.87","95.91","87.69"
"Latvia","1895.78","1704.41","1630.91","1405.78","1296.15","1217.73","1146.01","1093.87","1068.70","1028.87","1085.90","1000.56","899.73","807.58","756.38","602.40","578.26","518.50","434.38"
"Lebanon","1085.85","1081.28","1012.60","974.92","1024.09","1009.07","1079.74","1127.75","1050.34","929.00","942.63","927.95","838.10","707.30","727.71","729.62","790.13","896.87","902.11"
"Lesotho","309.00","283.70","254.09","260.30","264.16","267.38","243.92","231.43","187.75","200.35","167.13","149.55","98.63","82.51","85.47","83.12","82.63","88.76","78.36"
"Liberia","12642.83","11884.35","11743.44","11659.03","10081.26","8430.74","7796.32","7693.83","6838.65","6761.44","4810.75","5607.63","3907.80","4289.30","3424.35","1445.07","1884.81","1699.61","1747.58"
"Libya","","","","","","","","619.05","955.48","949.74","621.41","657.23","630.03","602.19","712.55","792.41","834.27","698.13","597.29"
"Lithuania","2312.96","2142.76","1999.07","1861.51","1738.96","1629.12","1542.19","1472.83","1349.94","1325.95","1298.46","1093.28","956.52","811.57","712.91","742.17","641.83","565.03","521.80"
"Luxembourg","6047.82","5870.35","5675.39","5546.68","5573.94","5346.20","5175.37","5694.88","6078.59","6091.46","5725.23","5277.88","5268.86","4941.68","4737.32","4217.47","3979.25","3603.98","3286.68"
"Madagascar","79.07","86.86","90.48","84.25","73.38","59.66","61.63","70.91","73.65","71.28","70.37","72.12","89.32","86.70","84.58","72.43","69.87","78.51","70.10"
"Malawi","119.51","121.00","120.57","114.41","117.25","133.49","93.94","82.28","76.43","83.08","81.45","68.06","56.13","46.81","42.72","32.99","25.35","34.31","40.88"
"Malaysia","1193.85","1114.69","1041.85","1034.79","977.62","867.36","817.33","738.69","665.53","661.76","626.68","609.31","577.06","485.06","485.64","461.89","399.72","381.82","357.22"
"Maldives","1442.57","1347.39","1432.29","1177.20","1077.28","1060.86","1083.81","989.24","994.80","1128.18","1411.39","938.20","841.24","727.65","707.09","604.88","642.69","565.99","774.68"
"Mali","90.00","91.18","80.47","84.41","88.48","73.89","69.14","75.41","85.95","93.05","88.28","88.54","89.47","81.65","77.11","73.88","67.87","60.36","63.76"
"Malta","3897.33","3891.49","3541.35","3374.16","3157.47","2766.52","2548.91","2455.25","2286.54","2120.05","2093.55","2050.66","2054.00","1938.25","1738.49","1656.00","1515.57","1301.59","1210.80"
"Marshall Islands","677.17","605.86","624.79","598.96","507.67","512.24","476.89","483.23","508.05","485.83","496.88","536.41","635.12","606.97","472.86","387.11","396.29","431.94","469.51"
"Mauritania","190.14","181.26","166.19","185.13","169.89","140.40","124.25","112.84","114.84","130.59","131.05","125.24","114.20","126.02","120.54","126.43","122.26","110.22","104.87"
"Mauritius","1380.74","1278.09","1208.59","1152.16","1062.85","858.35","746.48","714.21","716.42","628.12","572.06","478.34","453.04","429.31","387.66","349.07","326.18","291.41","271.86"
"Mexico","1065.95","1071.99","1054.81","1059.99","1016.06","1032.14","1002.70","941.84","911.84","892.39","850.55","824.03","780.89","738.72","719.57","667.69","567.39","536.50","493.40"
"Micronesia (Federated States of)","414.04","426.59","443.85","417.21","376.89","397.42","415.66","447.72","428.09","395.61","369.14","339.69","323.48","515.59","330.84","263.65","209.93","220.19","193.08"
"Monaco","2982.53","2799.83","2839.66","3458.36","3542.02","3343.59","3113.12","3006.10","2911.78","2786.97","2680.83","2440.03","2345.22","2297.16","2202.24","2087.59","1842.65","1738.33","1625.90"
"Mongolia","519.27","512.31","537.06","512.84","499.69","450.19","383.16","317.48","281.61","317.50","331.29","270.78","223.09","202.33","204.96","180.03","211.10","195.18","210.97"
"Montenegro","1711.21","","","","","","","","","","","","","","","","","",""
"Morocco","467.13","439.60","419.54","402.78","404.14","420.15","404.99","390.05","376.36","361.59","316.38","303.23","262.92","231.37","218.05","197.27","179.79","161.81","143.76"
"Mozambique","117.80","110.52","98.93","90.97","81.37","74.47","60.16","53.19","54.00","49.99","39.83","35.71","33.14","32.29","25.42","22.81","20.76","17.08","11.42"
"Myanmar","291.74","286.73","271.68","279.20","207.72","139.83","97.31","68.96","65.94","69.12","62.19","52.94","51.77","46.58","42.43","35.23","31.32","24.43","21.78"
"Namibia","882.66","920.46","991.92","1083.67","865.98","863.13","873.33","880.70","826.73","729.90","806.98","854.01","778.81","723.74","695.27","597.12","563.30","522.65","519.39"
"Nauru","1174.44","1430.74","1686.04","1497.85","998.40","748.70","737.79","669.89","710.27","585.75","1356.21","882.61","593.69","523.18","414.89","581.66","741.96","956.03","1157.09"
"Nepal","180.41","157.75","165.86","163.05","145.39","124.24","113.54","104.24","96.81","82.07","76.86","69.10","63.55","67.36","65.48","58.83","57.57","55.64","46.61"
"Netherlands","5634.53","5498.88","5279.85","5205.21","5213.53","5219.26","4989.33","4779.42","4585.03","4465.50","4316.77","3979.70","3723.13","3425.68","3264.33","3095.60","2987.46","2685.15","2466.15"
"New Zealand","4024.39","3815.66","3735.73","3481.53","3467.03","3335.01","3140.93","3088.70","2983.40","2940.22","2709.70","2439.96","2395.62","2123.64","1985.01","1853.05","1834.47","1693.33","1607.14"
"Nicaragua","473.93","473.00","434.66","412.08","394.88","358.85","333.89","310.15","299.76","286.76","278.19","259.62","222.94","206.23","189.20","178.11","162.99","154.53","142.39"
"Niger","77.98","77.61","61.34","69.19","55.66","53.65","51.14","53.14","54.65","60.17","58.14","55.41","59.08","55.13","45.29","44.72","44.64","42.45","40.06"
"Nigeria","232.99","221.11","214.60","217.51","201.24","194.92","181.79","174.73","166.79","170.82","160.00","155.05","157.06","157.95","152.05","155.68","72.28","81.23","76.27"
"Niue","1404.69","1246.34","1070.50","1178.73","1395.43","1166.88","1106.54","1993.25","1362.62","2974.18","2490.26","2382.10","4847.36","1158.31","1401.41","749.21","759.62","2489.21","487.80"
"Norway","6818.35","6515.91","6270.38","6144.08","6192.90","6012.88","5774.39","5492.08","5194.49","5059.64","4945.30","4525.13","4299.27","3995.40","3761.84","3562.25","3429.12","3037.70","2857.60"
"Oman","1729.54","1651.55","1834.12","1804.00","1479.58","1196.47","1107.58","1069.86","1218.58","1253.46","871.48","986.08","901.71","955.65","1068.06","1122.03","1159.42","1138.16","1071.87"
"Pakistan","178.24","152.13","142.06","127.97","125.05","114.48","99.77","95.99","103.58","103.66","114.43","121.20","110.38","100.20","80.05","76.96","85.77","80.23","84.17"
"Palau","2011.52","2164.41","2190.39","2045.58","1969.98","1844.93","1764.39","1570.36","1552.61","1342.31","1269.18","1345.67","1240.69","1170.82","1157.91","974.68","881.66","838.24","876.93"
"Panama","1856.69","1688.37","1696.90","1514.14","1465.06","1337.70","1234.49","1127.41","1084.79","1018.34","994.32","914.76","766.63","658.69","696.35","608.28","614.40","591.88","593.87"
"Papua New Guinea","101.28","97.07","98.10","74.23","123.10","99.47","85.51","70.42","64.07","65.03","56.73","64.84","60.12","86.25","90.29","80.43","84.07","70.66","62.05"
"Paraguay","935.33","863.21","826.41","796.67","763.46","661.78","655.32","506.22","441.30","384.09","361.01","338.65","321.74","291.81","291.81","282.22","263.75","318.39","349.62"
"Peru","766.64","698.16","687.90","656.60","632.09","574.89","542.89","488.82","470.30","451.80","403.29","358.51","329.70","300.04","295.42","296.67","282.50","255.46","229.17"
"Philippines","393.90","370.82","343.04","316.04","286.06","290.80","266.06","239.32","235.84","222.31","205.17","191.17","178.83","165.98","127.15","119.24","97.50","101.96","106.04"
"Poland","2015.29","1978.64","1850.73","1717.36","1626.77","1575.05","1477.89","1424.49","1352.83","1269.21","1167.32","985.74","877.84","806.79","782.77","730.55","715.97","630.35","564.47"
"Portugal","3242.35","3084.17","2972.27","2658.97","2587.09","2528.69","2466.53","2548.80","2683.43","2618.15","2491.86","2332.58","2254.38","2146.89","1998.33","1857.71","1747.26","1647.29","1588.42"
"Qatar","3165.86","3391.37","3939.55","3927.61","3002.02","2543.26","2144.63","1984.35","2102.69","2341.98","1780.23","2158.08","2369.55","2511.76","3115.34","3227.91","2262.35","2039.82","1730.84"
"Republic of Korea","3213.66","2929.07","2748.37","2531.40","2293.31","2143.08","2063.65","1961.46","1878.51","1712.75","1612.58","1475.74","1316.82","1150.75","1035.08","969.07","884.57","865.81","717.39"
"Republic of Moldova","479.85","481.33","483.96","520.39","520.81","489.38","464.24","455.94","469.61","584.49","493.31","450.76","406.76","340.50","287.75","203.61","197.21","151.33","135.04"
"North Macedonia","1073.20","1011.27","945.01","877.22","840.85","850.23","783.15","756.92","756.89","712.54","682.71","607.32","633.83","595.87","599.34","585.79","566.11","505.31","543.46"
